Site;Chitons;Samp.time;Temp;Wt.level;Weight;Boulder.area;Exp.side.area;Flu.cover;Live.cca;Live.pey;N_flu.cover;Dead.red.crust;N_flu.others;Asc.cover;Bryo.cover;Spong.cover;Others
Buzios;4;10;30.5;105;3;168.28;148.38;50.71;50.7125;0;30.3575;15;15.36;10.72;4.29;2.14;0.36
Pitangui;0;7;28.5;45;9;356.85;253.56;57.86;57.8575;0;2.8575;0;2.86;20.71;9.29;4.65;3.57
Pitangui;0;5;28.8;56;3;172.68;94.79;50.00;50;0;31.43;7.62;23.81;0.00;0.00;9.52;6.19
Pitangui;0;6;28.8;30;5.5;227.82;351.50;36.43;25.36;11.0725;12.8575;0;12.86;14.29;9.29;16.79;2.14
Pitangui;0;9;29.0;30;17;462.14;419.33;5.72;5;0.715;60.7175;1.07;59.65;1.07;0.00;7.50;0.00
Pitangui;0;8;29.9;23;8;404.7;192.36;36.07;30.7125;5.3575;38.2175;5.36;32.86;3.93;0.00;14.64;6.43
Pitangui;0;6;29.9;28;3;175.21;82.78;73.93;14.6425;59.2875;26.07;10.71;15.36;0.00;0.00;0.00;0.00
Pitangui;0;12;30.0;42;25;425.12;469.32;33.93;29.6425;4.2875;43.9275;15;28.93;3.57;0.00;16.43;2.14
Pitangui;0;7;29.0;10;8;288.75;153.91;13.57;13.5725;0;53.2175;1.43;51.79;1.07;0.00;20.72;2.85
Pitangui;0;8;30.0;14;3;157.86;95.69;48.22;48.215;0;49.285;23.22;26.07;0.00;0.00;0.00;2.50
Pitangui;2;6;30.0;9;8;304.82;196.78;45.36;45.3575;0;50.715;18.22;32.5;0.36;0.00;1.79;1.79
Pitangui;0;7;29.9;13;11;458.33;324.25;21.07;20.715;0.3575;51.7875;14.29;37.5;5.36;0.00;11.43;0.00
Pitangui;0;5;29.5;66;3;131.27;225.17;58.58;25.715;32.86;39.64;35;4.64;1.07;0.00;0.00;0.00
Pitangui;0;8;30.0;50;10.5;334.97;206.22;65.00;52.8575;12.1425;27.1425;2.86;24.29;0.36;3.93;1.07;2.50
Pitangui;0;5;30.0;58;2.5;177.83;82.05;76.67;66.66666667;10;15.24;6.67;8.57;4.28;0.00;3.81;0.00
Pitangui;0;6;30.0;62;6;314.34;166.94;42.15;24.2875;17.8575;41.0725;20.72;20.36;12.50;2.86;0.00;0.00
Pitangui;0;6;29.0;51;9.9;225.21;178.47;41.79;41.785;0;57.1425;10.72;46.43;0.72;0.00;0.36;0.00
Pitangui;1;6;29.0;79;13;342.24;242.60;49.29;31.7875;17.5;22.1425;4.64;17.5;8.22;0.00;20.00;0.36
Pitangui;0;7;28.8;86;10;387.42;259.37;68.57;61.07;7.5;11.7875;1.43;10.36;18.57;0.36;0.72;0.00
Pitangui;1;5;28.5;59;1.5;128.81;60.78;24.65;24.645;0;49.645;23.57;26.07;0.00;17.86;7.86;0.00
Pitangui;0;6;28.5;78;8;222.59;234.71;54.29;54.285;0;9.645;1.07;8.57;16.79;0.00;18.93;0.00
Pitangui;3;9;29.8;44;2.5;124.7;87.06;19.65;16.7875;2.8575;65;38.93;26.07;15.00;0.00;0.00;0.00
Pitangui;0;10;28.0;20;7;259.69;194.69;9.65;9.645;0;32.8575;2.86;30;40.36;0.00;17.14;0.00
Pitangui;0;9;28.0;72;5;143.59;169.27;32.50;31.43;1.0725;30.71;20.71;10;21.07;15.00;0.36;0.00
Pitangui;0;6;27.5;9;4;169.09;235.13;31.79;31.7875;0;66.07;11.43;54.64;0.00;0.00;0.00;2.14
Pitangui;0;5;28.0;27;7.5;270.61;206.03;46.07;35.355;10.7125;23.2125;10.71;12.5;18.22;0.00;8.21;1.79
Pitangui;2;7;28.0;54;4.5;138.32;123.46;42.86;20.95333333;21.90666667;27.61666667;20;7.62;23.81;1.90;2.86;0.95
Pitangui;0;10;28.0;58;6.5;280.17;239.39;60.36;57.5;2.8575;18.93;9.64;9.29;17.50;0.36;1.79;0.00
Pitangui;0;4;26.8;1;4.5;183.5;188.11;42.50;40.7125;1.785;52.855;18.21;34.64;2.86;0.00;1.07;0.72
Pitangui;1;9;28.0;36;5;212.15;225.37;21.43;21.07;0.3575;37.5;26.79;10.72;26.79;3.57;8.93;1.08
Pitangui;1;5;28.0;50;1.5;88.71;79.72;82.86;78.2125;4.6425;7.1425;2.86;4.29;6.79;0.00;1.07;0.00
Baia Formosa;0;6;30.0;19;10;317.83;224.95;77.15;67.145;10.0025;14.9975;11.78;3.22;1.79;4.64;1.43;0.00
Baia Formosa;1;6;30.5;8;3.5;111.26;115.79;78.93;0.3575;78.57;18.215;0;18.22;0.00;0.00;1.07;0.00
Baia Formosa;0;5;30.5;15;18;544.45;258.07;72.14;61.4275;10.715;27.5;1.79;25.72;0.00;0.00;0.00;0.36
Baia Formosa;0;5;30.0;21;2.5;153.23;120.22;65.72;62.5;3.215;33.57;6.78;26.79;0.00;0.00;0.00;0.00
Baia Formosa;0;3;30.5;16;6.5;219.44;184.13;33.33;28.57;4.763333333;64.76;11.43;53.33;0.00;0.00;0.00;1.91
Baia Formosa;1;5;30.8;24;12;429.64;209.89;58.93;58.9275;0;20.715;0;20.72;12.86;0.00;6.43;1.07
Baia Formosa;0;4;30.1;34;10;491.69;353.67;52.50;52.5025;0;46.7825;14.29;32.5;0.00;0.00;0.00;0.72
Baia Formosa;0;6;30.3;54;17;445.96;342.50;83.93;78.57;5.3575;11.0725;4.29;6.79;3.93;0.72;0.00;0.00
Baia Formosa;0;5;31.0;41;5;211.67;297.72;36.19;36.19;0;60.48;17.14;43.34;1.90;0.00;0.00;1.43
Baia Formosa;0;6;31.1;38;8;357.48;125.29;69.52;67.61666667;1.906666667;30.47666667;10.95;19.52;0.00;0.00;0.00;0.00
Baia Formosa;0;6;32.0;22;5;324.23;203.19;59.64;57.5;2.1425;32.8575;25.36;7.5;3.93;0.00;0.00;3.21
Baia Formosa;0;5;31.5;35;2.1;74.72;101.87;41.07;11.07;30;57.5;12.14;45.36;0.00;0.00;0.00;1.43
Baia Formosa;0;5;34.0;11;4.5;301.75;170.26;86.79;86.785;0;10.715;7.5;3.22;1.43;0.00;0.00;0.00
Baia Formosa;0;5;32.5;20;3;151.81;175.85;68.22;58.5725;9.6425;27.86;17.5;10.36;3.93;0.00;0.00;0.00
Baia Formosa;1;9;32.5;39;6;232.58;184.93;64.65;62.1425;2.5025;27.5;11.07;16.43;4.64;0.00;2.50;0.00
Baia Formosa;0;6;30.0;14;5.2;207.42;217.89;29.65;18.5725;11.0725;63.5675;20.71;42.86;0.00;0.00;0.00;6.79
Baia Formosa;0;4;30.4;14;12;347.95;183.45;84.29;42.5;41.785;8.215;0;8.22;1.43;0.00;0.72;5.00
Baia Formosa;0;6;30.0;16;3;181.15;157.42;42.86;28.5725;14.2875;53.2125;23.22;30;2.50;0.00;0.71;0.72
Baia Formosa;0;6;30.0;16;3;320.96;159.84;64.29;57.8575;6.4275;35.715;17.14;18.57;0.00;0.00;0.00;0.00
Baia Formosa;0;6;30.9;11;3.5;237.87;133.81;43.93;27.4975;16.4275;55.7175;7.15;48.57;0.36;0.00;0.00;0.00
Baia Formosa;0;12;31.2;26;16;734.49;324.52;80.00;72.1425;7.8575;18.2125;3.57;14.64;0.00;0.00;1.79;0.00
Baia Formosa;0;7;32.7;6;3;206.83;78.94;60.36;5.3575;55;39.6425;9.65;30;0.00;0.00;0.00;0.00
Baia Formosa;0;7;32.0;10;5;176.08;165.44;19.65;11.7875;7.8575;79.64;53.93;25.71;0.72;0.00;0.00;0.00
Baia Formosa;0;5;31.5;10;6;183.63;140.52;20.72;11.7875;8.9275;79.285;39.64;39.64;0.00;0.00;0.00;0.00
Baia Formosa;2;13;30.1;26;13;632.97;482.26;63.93;63.9275;0;16.43;13.57;2.86;6.43;10.36;2.14;0.00
Baia Formosa;0;9;31.5;23;5.5;263.99;262.95;79.64;78.9275;0.715;17.5;3.22;14.29;1.43;0.00;1.43;0.00
Baia Formosa;0;8;31.0;30;2;116.78;108.72;69.52;54.76;14.76;28.09666667;15.24;12.86;0.95;0.00;1.43;0.00
Baia Formosa;0;6;32.0;6.5;2.5;201.58;123.27;86.07;86.07;0;13.5725;5.72;7.86;0.00;0.00;0.00;0.00
Baia Formosa;0;6;33.0;8;2;131.8;72.08;72.85;70.47333333;2.38;10.00333333;4.29;5.72;0.48;10.95;0.00;5.71
Baia Formosa;0;11;31.0;33;11;643.89;254.56;69.28;64.99837504;4.284892878;19.64450889;13.93;5.71;8.93;0.00;2.14;0.00
Santa Rita;0;8;33.0;10;8;279.55;106.90;52.38;41.43;10.95;29.52333333;18.09;11.43;3.33;0.00;2.86;5.24
Santa Rita;0;11;32.8;12;17;390.72;465.96;47.86;41.785;6.0725;27.5025;21.43;6.07;17.14;0.00;0.00;7.50
Santa Rita;0;6;30.0;15.5;11;345.64;242.05;46.43;32.8575;13.5725;44.64;27.5;17.14;8.93;0.00;0.00;0.00
Santa Rita;0;6;33.0;12.5;11;290.98;548.94;33.57;31.785;1.785;56.075;32.15;23.93;7.50;0.00;0.00;1.07
Santa Rita;0;5;32.0;18;5;133.79;156.63;45.71;40.47666667;5.236666667;46.67;24.76;21.91;4.29;1.90;0.48;0.95
Santa Rita;1;8;32.8;8.4;7.5;272.83;241.41;69.29;67.5;1.785;21.43;5.36;16.07;7.50;0.00;1.43;0.36
Santa Rita;0;7;31.9;5;3;266.63;162.64;44.76;43.81;0.953333333;39.52;30.48;9.04;4.29;0.00;9.53;1.90
Santa Rita;0;4;32.0;6;2;82.05;100.14;37.14;37.14;0;49.52333333;25.24;24.29;0.00;0.00;10.00;1.91
Santa Rita;1;9;34.0;11.8;9;290.61;284.28;68.22;68.215;0;18.2125;8.22;10;11.43;1.07;0.36;0.72
Santa Rita;1;9;32.0;3;3;139.91;228.14;21.07;20.715;0.3575;61.7825;35.71;26.07;0.36;4.64;7.50;3.93
Santa Rita;2;6;33.0;5;8;277.55;259.82;32.86;32.1425;0.715;53.2125;21.07;32.14;0.36;8.93;0.00;4.29
Santa Rita;2;6;33.1;12;7.5;226.03;180.86;64.29;61.0725;3.215;32.4975;11.07;21.43;1.07;0.00;0.00;2.14
Santa Rita;0;6;32.5;10;3.5;106.8;174.80;65.71;63.2125;2.5;17.1425;4.64;12.5;0.36;0.00;0.36;5.71
Santa Rita;0;11;31.0;32;16;300.5;274.83;56.19;30.47666667;25.71333333;32.86;10.95;21.91;2.86;0.00;0.95;7.14
Santa Rita;0;7;31.2;21;4;156.85;101.91;70.95;53.81;17.14333333;22.86;6.19;16.67;2.86;0.00;0.48;2.38
Santa Rita;1;8;32.5;11.5;7.5;215.17;147.04;70.00;66.7875;3.215;27.4975;6.07;21.43;1.43;0.00;1.07;0.00
Santa Rita;0;9;32.0;18.3;4.5;192.57;175.20;44.64;41.4275;3.215;37.1425;8.93;28.21;12.50;1.07;4.64;0.00
Santa Rita;0;7;32.5;7;12.5;369.12;490.89;37.86;34.645;3.215;39.2825;19.64;19.64;6.79;0.00;16.07;0.00
Santa Rita;3;6;32.9;7.3;4.2;162.67;242.35;42.14;42.1425;0;22.5025;12.5;10;24.29;0.00;10.00;0.00
Santa Rita;0;8;32.0;7;3;130.74;103.45;61.43;61.42666667;0;35.24;10.48;24.76;1.43;0.00;0.00;1.90
Santa Rita;0;9;32.4;8;11.5;322;211.55;44.64;42.5;2.1425;50;18.22;31.79;2.50;0.00;0.36;1.07
Santa Rita;0;8;33.0;8.7;5.3;170.09;398.35;40.71;39.64;1.0725;47.8575;16.07;31.79;9.29;0.36;0.36;0.36
Santa Rita;0;13;32.0;17.5;19.5;503.52;367.76;37.86;33.9275;3.9275;28.2175;7.86;20.36;28.93;0.00;2.14;1.79
Santa Rita;0;5;32.0;5;3;244.18;118.51;46.67;46.66666667;0;37.14333333;23.33;13.81;7.62;0.00;4.76;3.81
Santa Rita;0;11;32.0;5.5;5.5;169.39;327.44;43.57;43.57;0;33.9275;2.5;31.43;2.86;15.00;3.22;1.43
Santa Rita;1;7;33.0;7.7;3;94.73;170.90;21.79;21.785;0;39.2875;13.93;25.36;6.43;28.57;3.57;0.00
Santa Rita;0;6;33.1;7;4.5;172.06;164.61;7.14;7.1425;0;82.855;0;82.86;0.00;0.00;0.00;7.50
Santa Rita;0;7;33.0;22.3;8;350.9;194.50;60.00;59.285;0.715;24.9975;4.29;20.71;10.72;0.00;0.00;2.14
Santa Rita;0;6;31.8;12;3.8;259.75;254.00;17.86;17.14;0.715;41.7825;6.43;35.36;30.01;2.50;7.50;0.36
Santa Rita;1;8;31.5;8.6;5.5;160.39;235.23;17.14;17.1425;0;63.2175;14.29;48.93;5.36;8.57;0.00;0.00
